Revision,Author,Date,# Lines,Comment,File Changed
1491146,Thomas,"2015-07-13 09:21:48 +0100 (Mon, 13 Jul 2015)",1,"Rename folder",Changed paths: - D /cloud/personal/client-international/android/branches/15-2-solutions - A /cloud/personal/client-international/android/branches/android-15.2-solutions (from /cloud/personal/client-international/android/branches/15-2-solutions:1491145)
1491229,Jimmy,"2015-07-13 11:03:48 +0100 (Mon, 13 Jul 2015)",1,"Added configuration for web auth, plan management and logout",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/common/mvn-config/res/values/environment.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct/build-config/prod.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct/build-config/prod_lowbandwidth.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct/build-config/qa.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct/build-config/qa_lowbandwidth.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct/build-config/voucher.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct-att/build-config/dev.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct-att/build-config/prod.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/mct-att/build-config/qa.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/dev.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/prod.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/prod_homescreen.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/prod_homescreensettings.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/prod_integrated.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/qa.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/qa_homescreen.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/qa_homescreensettings.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/build-config/qa_integrated.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/prod.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/values/configurations.xml
1491254,Alan,"2015-07-13 11:32:02 +0100 (Mon, 13 Jul 2015)",1,"icon renamed as ic_launcher.png",Changed paths: - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-hdpi/ic_launcher.png - D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-hdpi/icon.png - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-ldpi/ic_launcher.png - D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-ldpi/icon.png - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-mdpi/ic_launcher.png - D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-mdpi/icon.png - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-xhdpi/ic_launcher.png - D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-xhdpi/icon.png - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-xxhdpi/ic_launcher.png - D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-xxhdpi/icon.png - A /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-xxxhdpi/ic_launcher.png - D /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/drawable-xxxhdpi/icon.png
1491272,Thomas,"2015-07-13 11:52:09 +0100 (Mon, 13 Jul 2015)",1,"Added ignorance",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att
1491315,Jimmy,"2015-07-13 13:06:21 +0100 (Mon, 13 Jul 2015)",1,"Added web UI for auth",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/build.gradle - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/build.gradle - A /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/layout/atp_web_auth.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AbstractAtpAuthActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AtpAuthActivity.java
1491323,Jimmy,"2015-07-13 13:48:50 +0100 (Mon, 13 Jul 2015)",1,"Added application identifier to auth call",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/build-config/prod.properties - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AtpAuthActivity.java
1491333,Jimmy,"2015-07-13 13:59:14 +0100 (Mon, 13 Jul 2015)",1,"directed the auth callback to point at the AtpAuthActivity class",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/atp/AtpAuthActivity.java
1491420,Thomas,"2015-07-13 16:00:35 +0100 (Mon, 13 Jul 2015)",1,"Removed old TV functionality",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/common/mvn-manifest/AndroidManifest.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client/res/values/booleans.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/build.gradle - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/res/values/booleans.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/configuration/ApiConfigManager.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/util/sync/SyncConfigurationPrefHelper.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/test/com/biscay/client/android/model/configuration/ApiConfigManagerTest.java - D /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/layout/tv_login.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/res/values/strings.xml - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/application/SyncDriveModule.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/description/visitor/DescriptionFilesVisitor.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/description/visitor/DescriptionFilesVisitorFactoryImpl.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/ContactsActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/ContactsViewPager.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/GridActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/GridListViewPager.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/GroupsContactsListActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/PictureViewActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/SplashConnectingActivity.java - D /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/TvAuthActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/activities/VideoViewActivity.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/fragments/DataViewFragment.java - M /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/ui/src/com/biscay/client/android/ui/gui/fragments/SlidingMenuFragment.java
1491421,Thomas,"2015-07-13 16:03:32 +0100 (Mon, 13 Jul 2015)",1,"Removed old TV functionality",Changed paths: - D /cloud/personal/client-international/android/branches/android-15.2-solutions/libs/model/src/com/biscay/client/android/model/tv
1491425,Thomas,"2015-07-13 16:08:55 +0100 (Mon, 13 Jul 2015)",1,"Removed old TV functionality",Changed paths: - M /cloud/personal/client-international/android/branches/android-15.2-solutions/clients/client-att/res/values/booleans.xml
